"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",-2.736762182,-11.76468966,-1.903411028,4.321689805,8.840068018,12.66750479,-1.525623299,4.477176916,1.975038502,51.27448628,0.9913997963,22.71452515
"Belgium",-2.114722814,-4.246982081,-0.3355595325,0.2066738109,2.520796327,1.817757088,7.961327934,10.09507387,16.20434382,2.937128108,9.875326,57.41244136
"Bulgaria",-9.084087587,-1.557274196,2.798867956,0.9565017759,21.76916242,124.9524597,-51.19480395,2.653169051,9.321986675,24.82632049,3.310166165,7.477670235
"Canada",4.95226911,20.08850255,-2.47935839,27.75642502,-7.176229713,1.61107341,3.369035941,-5.078808368,-2.081568616,12.15669204,12.11990767,39.14874315
"Croatia",25.94009175,-1.036414598,-5.987292422,6.152083148,-2.820064272,7.196006977,-2.997466033,30.88357422,-1.907197297,-4.281112246,15.95707776,12.06110579
"Czechia",-5.025732471,13.86227924,-4.940835861,13.89540575,10.06072284,10.19656874,3.911143085,9.850640741,-1.362762631,2.37745791,58.71333681,-1.348495938
"Denmark",-4.823220812,-1.004457197,6.426418999,2.065113346,14.64765342,2.987092274,3.858526829,0.9541406082,7.045669684,50.56777751,16.63065724,45.31015022
"Estonia",3.782594517,7.133285257,4.999926001,2.547539418,3.70627868,5.118787397,10.25846701,-4.572608151,5.959036186,35.90993355,11.2773235,2.060350895
"Finland",-6.046223179,0.4023169341,0.7159934799,0.5292862692,1.404354581,6.000839592,2.872647482,-6.108164472,21.42171481,24.32631507,13.08049342,17.2264535
"France",-1.202487379,-0.9937968729,1.382528291,1.670925739,3.488549725,2.173303529,1.087823971,2.408361075,0.6689098715,5.264879773,5.73494267,1.960066447
"Germany",-1.421188876,1.598735992,3.430001882,5.537441588,2.709482587,9.220211312,7.599492107,-0.7547398389,4.739379003,9.33919256,24.04203639,""
"Greece",0.42476726,3.595212239,3.376951777,0.22978059,8.624160125,-1.938503544,7.734171003,38.63518829,11.80366328,-27.01332304,1.473694928,6.194000442
"Hungary",-5.222350323,9.341148907,13.19002081,24.19409312,-11.18638336,39.21725003,25.80832165,-19.32178155,45.31951059,10.74493058,4.459816618,-1.372312938
"Italy",-9.806185568,-5.828705889,12.05346654,3.754435104,2.908181536,-4.047220543,23.33094461,4.87770482,3.117432057,-1.070102956,2.333195614,35.20426859
"Latvia",2.641447813,14.34566441,42.65308224,14.87938316,34.73304957,-1.307802507,2.769920561,3.571521543,6.348723247,34.02001891,12.8833118,13.22614335
"Lithuania",19.65029866,32.04592895,33.90914363,21.01124016,19.29964046,6.649136695,3.365798258,1.185439145,28.57489593,11.35430991,16.60325425,33.55657371
"Luxembourg",4.902941492,15.30462019,-3.783688263,31.97695581,2.573963873,12.39974577,4.718066812,-12.59123992,21.06601168,27.5117849,15.83177675,69.00893536
"Montenegro",4.493123585,-3.521249248,4.332752455,-1.333448174,7.294346072,1.34918064,10.02712253,1.483893158,-5.705858329,17.20601377,16.41733221,22.11402379
"Netherlands",0.1939610769,0.2604765465,4.433574085,2.170376703,8.411429395,10.90166908,2.176643325,2.589738705,10.32639445,15.74333716,26.11818893,26.39624913
"North Macedonia",-3.580543935,-0.08512331518,-4.713220853,-6.745934493,8.397950092,27.72597308,2.010868043,22.46486874,11.72772806,8.490311121,15.47616027,9.342888446
"Norway",5.37974462,4.722603608,10.84403272,0.7777796728,1.427511278,8.69623346,5.268304258,-11.40165433,-10.19629548,25.08680749,26.28050178,49.87749672
"Poland",11.35054774,23.7360805,-7.286984302,-0.356944988,12.61299258,2.874471214,10.08020237,6.077869138,6.321028124,48.17892531,19.1377928,22.23034715
"Portugal",-8.535506088,3.305635131,-2.645703545,1.008813655,11.3611697,5.234929947,-4.693760162,12.62774683,-2.161252182,-1.839487498,20.6792394,29.29266876
"Romania",8.604338597,11.04967572,1.229966069,31.38343999,9.599273813,6.260738811,5.416197633,-2.668867245,-1.520683934,-6.487342465,36.9512509,6.553194618
"Slovak Republic",3.192593125,18.56879238,2.384812466,1.834007859,15.09217736,43.09757047,8.93151134,-4.893572829,5.686540159,3.467288717,9.072213084,6.823026784
"Slovenia",-4.584921442,-2.235071472,11.40778198,2.629905859,7.238371045,7.980693596,-3.735477747,26.08170304,7.34997477,3.771684663,5.252298281,51.46966596
"Spain",0.3575499151,4.597516526,-10.19211295,15.34523289,4.873100505,-0.4467520425,-1.482131115,8.840935747,18.81875669,5.235184978,26.4581001,43.11040592
"Sweden",4.18942424,-1.194228872,-1.888071881,1.824881776,2.293595954,9.460533217,2.896021725,37.40009828,5.307173324,13.70819867,37.76182776,10.79472349
"Türkiye",0.784513925,1.444203054,8.635165534,11.61461047,23.87233656,2.849786968,2.279181763,-3.828099391,-10.79181771,14.92339171,48.78440929,12.1231057
"United Kingdom",-1.108390314,-3.048450599,4.746029287,2.115747294,2.526194723,0.7425588816,1.381032487,5.563529043,3.881133473,-0.4636405021,4.69745611,4.426589187
"United States",-5.597101638,-2.842053422,1.345805083,-3.724833513,2.218936805,9.883028299,1.286162019,2.265499616,-5.422294483,-0.8118610183,6.42994883,2.733308814
"NATO Europe and Canada",-0.8919413639,1.858625681,2.812635545,5.963332767,3.904016317,3.891784199,4.790127277,2.564107855,3.787969796,9.27087998,18.59281891,15.94329407
"NATO Total",-4.36401842,-1.565419971,1.758031344,-0.9739315413,2.730925063,8.041884314,2.321589257,2.355867616,-2.629315681,2.447203465,10.62323732,7.615705208
