"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",16.64979105,8.92140496,8.009371852,6.958275061,9.415999807,14.60637862,15.00129941,15.11796146,17.04803985,25.19,26.6,42.12
"Belgium",3.515491548,3.436372806,4.721767967,6.515404287,10.15414846,11.06324227,13.88088377,19.46641658,20.35884098,20.22468646,15.15538987,14.53989654
"Bulgaria",1.027557875,3.471671059,9.150331067,8.095827861,9.646574216,59.74102446,8.442978105,11.04929874,15.69840631,28.27301128,32.46568022,29.1092058
"Canada",13.02957235,10.47151398,10.610179,10.69507995,11.94202678,13.83998176,14.66545575,12.07325914,11.32710141,14.99486403,18.25893851,22.55002897
"Croatia",5.5586028,8.011109461,7.512518172,5.687852905,3.371811054,6.55228002,9.062017845,30.01171194,31.19208804,24.19710965,26.37498125,29.86769189
"Czechia",6.531834165,11.75442717,6.695026438,11.54626117,11.16441365,16.44251541,17.31268883,20.46907521,24.66422483,23.04468609,38.1152461,30.67840713
"Denmark",10.98652603,11.49591752,13.68134509,10.38854461,11.65686984,16.21209203,17.64650854,17.19081623,18.71935093,12.65597148,30.82212664,""
"Estonia",22.1492783,12.81695806,17.85653903,19.22129626,16.51060326,15.49939677,22.99642857,23.18442903,21.85720101,16.72349126,23.23761775,25.82677165
"Finland",13.6784745,14.15429853,14.03866975,13.34647592,13.56246338,21.1393303,21.63373375,19.88155871,33.53859915,42.5393566,40.91317365,45.97441685
"France",24.64184269,25.03754418,24.44131067,24.16779921,23.66289837,24.53434078,26.61736349,27.84916954,28.63841414,28.49863512,28.49949648,31.02945937
"Germany",12.94375954,11.93351541,12.2095948,11.77474227,12.36433169,14.68581393,17.45159949,16.69036984,17.23197732,18.03995692,21.16623191,""
"Greece",8.168765253,10.39839179,13.44855798,11.27829394,11.02533,11.5489109,10.69776702,37.24039236,42.29436991,25.14729174,25.72165982,34.99555106
"Hungary",7.758993172,9.752251355,13.37480163,18.54246053,12.62762783,36.4640422,45.56823567,36.40395794,47.57961944,39.22460995,47.80519054,44.9542332
"Italy",10.92427681,9.724889102,19.09368764,20.67875398,19.12844426,17.00180513,18.56252492,23.23052052,22.77308256,21.97645582,21.57970979,25.67797489
"Latvia",7.546708889,13.60256011,19.04950201,15.01418474,31.85432845,21.65356114,20.52842623,22.0689354,24.65442968,31.56700547,25.31930879,35.50488599
"Lithuania",14.05814058,21.5495046,30.05958804,31.61454772,36.98385887,37.56994265,33.71395788,22.320572,36.61899319,28.66332603,30.01867304,45.84418809
"Luxembourg",22.60522867,33.33425618,30.06826778,42.05557703,45.17762104,49.71294128,50.15044162,39.57568478,45.1037239,56.3973064,51.38121547,53.50735531
"Montenegro",7.458249715,5.431512727,4.462208747,4.974148999,11.14122347,14.96439933,20.9573074,20.54044232,22.84888279,23.99464517,30.40949462,34.26507577
"Netherlands",10.67740866,11.15918014,14.13770996,14.75075493,16.38811191,20.34277047,22.13359996,23.85329988,14.78410963,23.87096774,23.26732673,26.05363985
"North Macedonia",5.92321268,11.12501516,8.365394614,6.471438901,11.08793325,13.82488479,11.52595447,21.77480196,24.12590123,25.17074465,29.62374495,32.35538604
"Norway",20.41918948,21.83407516,23.3723975,24.62688186,25.60200729,28.76052573,28.4083188,29.18537347,28.39039076,29.29281733,27.33465551,31.43502825
"Poland",18.83803507,33.20006167,21.61693216,22.0372363,27.51400599,23.36024015,29.31096023,33.89101436,32.42487152,44.73233358,42.90206188,54.43897752
"Portugal",8.430633402,8.698517152,9.94724977,11.42335593,15.48195687,16.60808553,17.36095214,12.46460198,16.0947911,18.82139629,19.02711146,20.0000337
"Romania",15.77200652,19.64936666,20.42956991,33.33671357,33.4735684,25.58652368,23.11865928,21.56644304,25.51334749,21.94320835,32.09167857,31.80988377
"Slovak Republic",11.12347861,18.27932272,15.31995703,17.73843632,22.26568491,40.07071308,31.83805731,32.33942874,36.54277851,26.07706831,35.16670904,31.09584497
"Slovenia",0.6580275585,1.854817688,1.024137389,4.039174354,5.978151915,7.109867032,5.689764296,14.55811214,22.3806987,23.91819078,24.94481236,26.5480427
"Spain",13.49330809,14.82008158,6.651948902,20.3940707,21.82658742,21.02129387,19.43459125,22.47219131,20.89249428,27.38970114,30.78923016,32.28572291
"Sweden",40.46617892,38.07643164,34.61762309,21.64876957,22.40272892,22.95428931,23.79412012,20.22390991,21.13231705,30.23923445,35.36585366,35.82725061
"Türkiye",25.07821173,25.13428766,25.55304673,30.30385891,37.63878331,34.32070348,30.72835823,29.30964479,28.42549007,29.7902274,33.36342959,26.99736574
"United Kingdom",22.82042809,21.75193334,21.23877617,22.29180559,22.24989106,22.85212926,23.82910816,29.49816895,31.41545894,31.26048841,33.36404075,35.96134039
"United States",25.96861955,25.40522387,25.05094816,25.73089264,27.0647894,29.05852553,29.68656329,28.7033518,27.84868326,29.37062937,28.98395722,29.69387755
