"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",0.861217914,1.395765082,1.367648498,0.9240927923,1.092976033,1.640665831,1.386352568,3.613598247,5.116351441,18.6731284,6.008723214,3.698821031
"Belgium",1.81119494,0.9337157411,0.9606707245,1.052160472,1.432987867,1.194874792,1.001164706,0.8236944726,2.666481524,3.58135929,3.751369296,3.725557473
"Bulgaria",0.6278619339,1.265028265,0.6328053548,0.8326791963,2.61973721,1.093664792,7.709782981,4.934579909,6.964605058,2.013322407,4.904447049,2.358921098
"Canada",3.809237206,3.633247329,3.031350544,2.978624866,3.584040603,2.721700805,3.06596278,3.220710529,2.636742183,2.664852431,2.453058862,1.440425656
"Croatia",1.220877165,1.961887526,1.264242415,3.627768622,1.015202727,1.432306554,1.527109154,0.5493995201,0.7112969118,3.012495649,2.297794719,1.312954288
"Czechia",2.335725769,3.320275961,3.907274911,3.99081425,5.31060859,5.267307998,7.409304012,6.243527983,4.318994432,6.365821195,7.019754566,14.07270555
"Denmark",0.968389457,1.09191796,2.158288226,1.949432167,1.491995103,1.852051253,1.840765527,4.080947987,3.065465161,2.639971629,2.364789019,1.068479325
"Estonia",8.200896857,8.45223416,12.14640087,11.26682795,8.520813015,6.12822021,6.650981396,5.549605792,8.023421086,10.64731747,9.6729364,8.037531358
"Finland",0.0,0.0,0.0,0.0,0.0,0.2891312539,0.3681227325,0.6312836936,0.5206697016,0.328735269,0.3557786623,0.1802050502
"France",2.334979441,2.798442415,2.699211765,2.876059172,3.51298402,3.134086479,2.884005668,3.036986172,3.011614512,3.480627609,3.667835584,3.832633037
"Germany",3.752595388,3.598797477,3.393294501,4.063066656,4.153944763,3.989940031,3.781928713,3.73651474,3.543093555,3.345600076,3.345600722,""
"Greece",1.102235311,0.6546869394,0.5799260727,0.791069698,0.6185553743,0.2029472539,0.1765870878,0.261437104,0.2620246886,0.5888136326,0.3632969443,0.0
"Hungary",1.070011805,1.210109129,1.131188735,1.313848262,1.681699107,2.635476955,1.413736535,9.158608188,2.232189735,4.19223139,4.824796093,5.750305153
"Italy",1.398210945,1.299508775,0.6951701998,0.9352255398,1.285380984,0.6734453238,0.9670803848,1.480010493,1.949265601,2.131727351,2.920827542,1.903590217
"Latvia",8.888949775,6.644243931,12.82763489,15.01882451,6.451231602,10.30269131,11.85371718,5.277759465,4.309819895,6.851382097,5.19897648,5.595450662
"Lithuania",2.169024282,2.163992559,3.589553612,3.921109669,2.23778443,2.396555895,1.252150459,2.471083059,4.535889158,9.772708949,9.503763816,6.045753003
"Luxembourg",10.25792416,7.786986692,6.638361537,4.636747326,5.049183177,3.158387141,3.417807112,7.275826994,4.962387405,12.95374117,9.788837311,7.052540157
"Montenegro",0.9569885687,2.467468438,2.411052143,0.8848320516,1.86418421,1.48462314,1.325610249,5.261654439,0.4936788126,5.162726427,7.682763936,6.641831513
"Netherlands",4.770843905,3.187085041,3.895031038,3.024115511,3.461759414,3.258245659,3.138417885,2.992227309,3.322080501,2.646007227,3.866274724,3.094922334
"North Macedonia",1.240939655,1.674409386,1.282451215,1.012292119,0.9467265725,3.886008253,2.782126942,3.093172388,3.093121966,1.644442274,4.306096674,1.84386619
"Norway",5.705224268,5.301057653,6.564937488,6.932725612,6.66989855,5.870459722,6.546518786,6.45030904,5.642283595,5.169204833,7.462048355,4.71285206
"Poland",5.471343252,4.735781805,4.623995642,4.207299822,3.449779572,4.782318356,4.308952871,3.711165322,4.122914972,4.413974865,4.4503484,3.763536261
"Portugal",0.1103954197,0.2531330241,0.06150460766,0.03384586555,0.04967912744,0.110192089,0.07784508176,4.477096969,2.106781776,2.480752146,3.654889264,""
"Romania",1.091728587,1.269856886,2.771136296,2.086102599,1.539014338,3.531223319,4.294273074,7.061369634,4.189810803,4.489199461,11.50391474,13.56796573
"Slovak Republic",0.5708614014,1.990864761,3.746219469,2.971390657,2.00351425,1.166160391,5.212860838,1.455737634,2.601761511,3.484135609,5.992817234,4.324231721
"Slovenia",0.6543048737,0.6128600091,1.143200051,0.4523757137,1.398247502,0.5684418297,1.099248404,1.308121581,1.916796179,6.718238352,4.735653271,2.201084738
"Spain",0.6646165024,0.9708206399,0.9650492782,0.6786618775,0.6378342599,0.9789753387,1.067260114,1.076321122,0.7636148136,1.460108327,2.320488345,4.630809145
"Sweden",0.469769566,0.4646302825,0.4656037257,0.4474272432,0.4263941601,0.3803322361,0.3628546994,0.2853686336,0.2309574566,0.3504634367,0.2905496302,0.3964921734
"Türkiye",2.765708776,2.554453947,2.418874764,2.950869955,2.473927631,2.257873029,2.219555309,7.490531954,7.632616675,9.476336525,8.616302259,7.388025951
"United Kingdom",1.95021285,1.634111358,1.87158944,2.25179938,2.990819394,2.111635143,1.722849165,1.720939836,2.884641425,2.209201104,2.239674899,2.80415459
"United States",1.70856131,1.452156949,1.216201592,1.227810674,1.1697942,1.384897308,1.328618699,1.265389628,1.319916597,1.518298368,1.800641711,1.874285714
