"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",14.43799958,11.53644425,22.56848395,23.92460745,18.78888566,20.8624328,19.2014499,17.69945648,17.7842127,17.76455304,25.36090011,20.77047466
"Belgium",16.82826334,17.39994036,17.52171919,17.23019113,17.72450146,19.36390197,21.5361033,22.9237437,27.08283089,26.27053341,32.7499165,49.29355574
"Bulgaria",25.50690338,21.60240146,24.57858694,22.74118044,24.7440644,9.74041674,20.05320246,18.43051914,19.54105287,16.57758178,7.3555523,15.74085968
"Canada",32.26144569,32.13649176,33.25322015,28.95146819,33.45865081,33.89853299,33.03624552,34.78966633,37.59674836,35.22911054,34.23853482,39.98799522
"Croatia",17.69215172,18.51032928,15.79475515,18.25364116,17.48158384,17.16035287,13.26507749,12.72580372,12.71839773,14.4934694,13.22497022,14.50728461
"Czechia",29.72900127,29.67295736,27.44924041,28.35309204,28.95079959,26.47203199,25.55538952,28.58496439,28.17158401,27.72659302,27.07537345,26.52412946
"Denmark",36.77845619,35.40222084,34.65322046,40.65622476,36.97335318,33.68608874,34.44115411,30.41932592,37.33052354,55.13537803,39.43801809,34.3949277
"Estonia",31.03170529,39.17530967,31.300985,34.62425102,41.14253961,44.19660102,37.68487912,37.65377411,40.71429946,48.32228505,44.95032028,43.49556483
"Finland",46.08161412,47.96259722,47.10386952,46.12901888,47.49059299,44.1038041,44.15715838,44.39887903,37.30365228,33.37273221,37.73018499,35.87696192
"France",24.43371794,24.37473435,24.92072118,24.97253859,25.9242242,26.74078521,26.49261283,26.11989273,26.02455133,27.6688526,28.9366583,26.91742064
"Germany",32.63195081,34.61156324,36.04923615,35.19762611,35.49411981,36.06362967,36.54973557,37.2939721,39.96472927,42.84271301,44.34019149,""
"Greece",13.55330873,16.89600396,12.83770455,11.36700574,9.599145059,11.16900678,14.54593733,8.717702001,11.52655691,13.59674454,12.71490154,6.554645784
"Hungary",41.40159102,40.8266937,35.83871885,43.01176646,43.36301751,25.53094448,25.8408347,15.69784631,18.76395109,31.58516369,22.51464273,21.09451518
"Italy",11.2663084,11.42155484,9.419436026,10.80341556,11.43082327,12.11046048,12.95233012,11.55530448,11.61264632,13.54326812,17.08328168,29.57014069
"Latvia",30.59164741,29.69061704,24.25341723,31.37754383,27.37911608,34.51483766,30.46321726,35.41679359,34.50830506,29.26879865,37.07560873,29.13159893
"Lithuania",26.24419111,27.7923592,20.85440622,23.66999187,23.30480186,20.01418175,23.70768453,32.63146528,25.63297152,29.51184801,30.49828329,22.81938983
"Luxembourg",17.82267105,16.10549379,17.73203949,18.90387803,16.34822476,16.36789844,16.29688512,18.57261917,21.15402021,10.21842221,19.2076682,27.70835778
"Montenegro",13.05569573,14.06917959,17.80272972,13.2691044,13.49873822,12.16332831,13.05875269,14.30148225,15.53436635,12.44146016,15.6856248,14.69383804
"Netherlands",28.04928276,30.13893229,30.20143496,30.03632958,28.98753473,27.13188232,26.23516051,25.29206957,34.851999,37.70316294,35.08513055,40.28070656
"North Macedonia",20.34434752,16.24605959,19.08724134,17.26319595,16.43132221,20.362078,22.36541009,24.10411166,29.98116133,25.46946386,16.41512977,24.80213387
"Norway",33.23985783,32.90202051,31.45924354,31.36061047,31.29630541,30.58589189,30.53421277,30.21225469,31.75202985,31.56977544,33.52984949,43.40567384
"Poland",24.24232927,20.10520715,26.60867028,23.71335539,22.89217377,24.94690664,21.66622983,18.84648961,20.73545684,18.93914247,22.22871233,15.05235034
"Portugal",10.19309402,9.1503335,8.609487432,8.351541447,9.721547451,12.76767621,11.41476075,19.97303671,19.9875598,15.09182259,22.16569946,""
"Romania",12.08067564,15.77866139,11.8096991,10.00620163,10.55236474,12.98025446,13.38229257,13.57828584,15.26207931,13.86824235,10.94862362,9.390407539
"Slovak Republic",19.16069788,23.48715008,22.21544869,21.0783769,20.986069,17.95011607,20.60429645,19.59102428,18.09033439,28.62708214,18.72259284,25.72125836
"Slovenia",16.37852658,15.30520478,21.79782543,20.4668981,20.24233387,23.25209691,20.46222431,22.13938043,21.93737832,19.23181012,23.87950755,39.95938071
"Spain",18.50335016,19.03041206,19.77666127,17.28320754,17.8911829,16.14132492,16.95586965,17.75596028,25.64562826,21.84877133,28.46427964,35.32368872
"Sweden",24.96762145,31.53442473,32.79244413,48.39821363,48.99688279,46.67237832,45.09108941,56.83348031,57.15355136,50.07247815,49.36291341,49.32972313
"Türkiye",15.35794704,15.69094871,14.42406815,15.73233233,15.69488408,15.0336377,16.4148975,15.31538875,18.67131532,16.53681082,17.88496688,31.20069868
"United Kingdom",38.63450203,39.81526276,41.62111836,40.91693225,41.01284453,40.96654527,40.6475292,37.28622527,35.95838623,35.84343443,34.04936717,31.98852119
"United States",36.86982789,36.50724593,28.72653222,31.51597445,32.02697845,30.83512011,30.51197041,41.69189437,41.58077408,41.5995338,43.11775401,41.12479592
