"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",6.744,6.247,5.782,6.847,6.848,6.82,6.713,6.641,6.641,6.564,7.034,7.434
"Belgium",30.512,29.681,28.816,27.841,26.483,23.33,22.832,22.059,21.363,21.358,21.349,21.339
"Bulgaria",27.498,24.857,24.725,24.339,24.354,24.592,24.992,25.742,25.615,25.569,26.897,28.4
"Canada",65.898,70.321,70.507,68.157,70.298,71.849,70.339,68.215,67.444,66.768,77.056,77.054
"Croatia",15.38,15.143,14.844,14.8,15.003,14.829,14.704,14.851,14.398,13.956,13.688,15.2
"Czechia",20.222,21.454,22.704,23.769,24.66,25.295,26.147,26.41,26.62,27.348,29.484,30.641
"Denmark",16.90055526,17.246,17.253,16.7394866,17.15,16.28,16.881,16.945,16.724,17.254,17.289,17.297
"Estonia",6.285,6.045,6.08,6.022,6.221,6.349,6.688,6.626,6.283,7.256,7.456,7.766
"Finland",32.534,31.039,31.341,31.018,31.79015,31.1,31.295,31.097,30.512,30.958,30.76,30.841
"France",206.97781,204.776,208.143,208.208,208.209,207.847,207.596,207.557,207.076,205.321,204.673,""
"Germany",178.8,177.195,177.863,179.759,181.499,183.794,183.899,183.852,183.179,181.727,185.641,186.413
"Greece",107.257,104.419,105.99,106.85,109.198,102.459,106.639,108.079,107.29,110.999,110.83,111.664
"Hungary",17.479,17.392,17.893,18.739,19.888,18.926,19.818,20.038,19.712,20.149,20.90755666,21.60112908
"Italy",183.465,178.424,176.257,174.613,174.114,176.426,173.396,170.343,169.985,170.738,171.422,171.159
"Latvia",4.646,4.832,5.219,5.547,5.891,5.954,6.414,6.487,6.44,6.736,8.422,9.024
"Lithuania",8.568,11.765,11.76,13.477,14.295,14.869,15.114,15.17,15.679,17.892,18.528,19.51
"Luxembourg",0.821,0.774,0.78,0.824,0.867,0.853,0.813,0.865,0.87,0.877,0.88,0.88
"Montenegro",1.855,1.712,1.457,1.513,1.505,1.543,1.857,1.649,1.623,1.671,1.636,1.974
"Netherlands",41.218,40.63326,40.04163,39.453,39.338,39.65295,40.44295,40.948,40.643,41.09020122,41.86342642,42.45156105
"North Macedonia",6.514,6.785,6.637,6.326,6.472,6.357,6.411,6.114,5.936,5.745,6.056,6.198
"Norway",20.981,20.946,20.467,20.225,20.22,19.16,20.631,23.125,23.544,24.038,24.313,24.774
"Poland",99.01,98.898,101.586,105.261,109.537,113.071,116.197,166.793,176.048,206.504,216.081,233.781
"Portugal",30.706,28.288,29.79,27.761,26.864,23.774,23.746,25.286,22.463,21.448,24.00833333,24.87666667
"Romania",65.11,64.452,63.353,64.025,64.039,64.532,66.444,68.623,66.679,64.047,66.618,69.302
"Slovak Republic",12.421,12.442,12.168,12.159,12.162,12.707,13.142,13.058,13.242,12.991,15.605,16.91
"Slovenia",6.764,6.628,6.513,6.342,6.208,5.982,5.95,5.955,5.848,5.845,5.928,6.078
"Spain",121.8475891,121.607,121.02,117.722,117.352,117.031,118.674,118.67,117.321,116.306,117.377,118.248
"Sweden",14.7,14.97,14.962,15.889,17.797,19.101,20.061,21.069,20.905,21.51,23.05,24.87
"Türkiye",426.568,384.835,359.273,416.702,444.289,441.778,432.963,449.989,455.941,463.713,481.017,494.469
"United Kingdom",168.68,141.39,139.48,149.36,146.55,144.03,147.26,148.216,143.558,138.097,138.097,""
"United States",1338.184,1314.11,1301.444,1305.9,1317.444,1329.181,1346.651,1349.0,1317.0,1286.026,1300.21,""
"NATO Europe and Canada",1890.758954,1810.69026,1788.30763,1857.054487,1893.042,1883.73295,1896.70295,1968.306,1968.165,2032.965201,2113.966316,1820.155357
"NATO Total",3228.942954,3124.80026,3089.75163,3162.954487,3210.486,3212.91395,3243.35395,3317.306,3285.165,3318.991201,3414.176316,1820.155357
