"country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024e","2025e"
"Albania",68.05099145,78.14638571,68.0544957,68.19302469,70.7021385,62.89052275,64.41089812,63.56898381,60.051396,38.37231856,42.03037668,33.41070431
"Belgium",77.84505017,78.22997109,76.79584212,75.20224411,70.68836221,68.37798097,63.58184822,56.78614524,49.89184661,49.92342084,48.34332433,32.44099026
"Bulgaria",72.83767681,73.66089921,65.63827663,68.3303125,62.98962417,29.424894,63.79403646,65.58560221,57.79593577,53.13608453,55.27432043,52.79101342
"Canada",50.89974476,53.75874694,53.10525031,57.37482699,51.01528181,49.53978444,49.23233595,49.916364,48.43940804,47.111173,45.04946781,36.02155016
"Croatia",75.52836831,71.51667374,75.42848426,72.43073732,78.13140237,74.85506056,76.14579551,56.71308482,55.37821732,58.2969253,58.10225381,54.31206921
"Czechia",61.4034388,55.25233951,61.94845824,56.10983254,54.57417817,51.8181446,49.72261765,44.70243242,42.84519673,42.86289969,27.78962589,28.72475787
"Denmark",51.26662833,52.00994368,49.50714623,47.00579846,49.87778188,48.24976797,46.07157182,48.30890987,40.88466037,29.56867886,27.37506625,18.93298938
"Estonia",38.61811956,39.55549811,38.69607509,34.88762476,33.82604411,34.175782,32.66771091,33.61219107,29.40507845,24.30690622,22.13912558,22.64013216
"Finland",40.23991139,37.88310426,38.85746073,40.5245052,38.94694363,34.46773435,33.84098514,35.08827858,28.63707887,23.75917592,21.0008627,17.96841618
"France",48.58945993,47.78927905,47.93875639,47.98360303,46.89989341,45.59078754,44.00601802,42.99395156,42.32542002,40.35188466,38.89600964,38.22048695
"Germany",50.67169427,49.85612387,48.34787455,48.96456496,47.98760373,45.26061637,42.21673623,42.27914332,39.26019985,35.77173,31.14797588,""
"Greece",77.17569071,72.05091731,73.1338114,76.56363062,78.75696957,77.07913506,74.57970857,53.78046853,45.91704848,60.66715009,61.2001417,58.44980315
"Hungary",49.769404,48.21094581,49.65529078,37.13192474,42.32765555,35.36953637,27.1771931,38.73958755,31.42423973,24.99799498,24.85537063,28.20094647
"Italy",76.41120384,77.55404728,70.79170613,67.58260492,68.15535148,70.21428907,67.51806457,63.73416451,63.66500552,62.34854871,58.41618098,42.8482942
"Latvia",52.97269392,50.06257892,43.86944587,38.58944691,34.31532387,33.52890989,37.15463933,37.23651155,36.52744537,32.31281378,32.406106,29.76806442
"Lithuania",57.52864402,48.49414364,45.49645213,40.79435075,37.47355485,40.01931971,41.32620712,42.57687966,33.21214613,32.05211701,29.97927985,25.29066907
"Luxembourg",49.31417612,42.77326334,45.56133119,34.40379762,33.42497103,30.76077313,30.13486615,34.57586906,28.77986848,20.43053023,19.62227902,11.73174676
"Montenegro",78.52906599,78.03183924,75.32400939,80.87191455,73.49585411,71.38764922,64.65832966,59.89642099,61.12307204,58.40116825,46.22211664,44.39925469
"Netherlands",56.50246467,55.51480253,51.76582405,52.18879998,51.16259394,49.26710155,48.49282165,47.86240324,47.04181086,35.77986209,37.78126799,30.57073126
"North Macedonia",72.49150014,70.95451587,71.26491283,75.25307303,71.53401797,61.92702896,63.32650849,51.02791399,42.79981547,47.71534922,49.65502861,40.9986139
"Norway",40.63572842,39.96284668,38.60342147,37.07978206,36.43178875,34.78312266,34.51094964,34.1520628,34.21529579,33.9682024,31.67344664,20.44644585
"Poland",51.44829241,41.95894937,47.15040192,50.04210848,46.14404067,46.91053485,44.71385707,43.5513307,42.71675667,31.91454908,30.41887739,26.74513588
"Portugal",81.26587716,81.89801632,81.38175819,80.19125675,74.74681655,70.51404617,71.14644203,63.08526435,61.81086732,63.60602897,55.15229982,""
"Romania",71.05558926,63.30211507,64.9895947,54.57098219,54.43505252,57.90199854,59.20477508,57.79390148,55.03476239,59.69934984,45.45578306,45.23174296
"Slovak Republic",69.14496211,56.24266244,58.71837481,58.21179612,54.74473184,40.81301046,42.3447854,46.61380934,42.76512559,41.81171394,40.11788088,38.85866495
"Slovenia",82.30914099,82.22711752,76.03483713,75.04155184,72.38126671,69.06959423,72.74876299,61.99438585,53.7651268,50.13176075,46.44002681,31.29149184
"Spain",67.33872525,65.17868572,72.60634055,61.64405988,59.64439542,61.85840587,62.54227898,58.69552729,52.69826265,49.3014192,38.42600185,27.75977923
"Sweden",34.09643006,29.92451334,32.12432905,29.50558955,28.17399413,29.99300014,30.75193577,22.65724115,21.48317413,19.33782396,14.9806833,14.44653408
"Türkiye",56.79813245,56.62030968,57.60401035,51.0129388,44.19240499,48.38778579,50.63718897,47.8844345,45.27057794,44.19662526,40.13530126,34.41390963
"United Kingdom",36.59485703,36.79869255,35.26851604,34.53946279,33.74644502,34.06969032,33.80051348,31.49466594,29.7415134,30.68687606,30.34691719,29.24598383
"United States",35.45299124,36.63537325,45.00631803,41.52532223,39.73843794,38.72145705,38.4728476,28.3393642,29.25062607,27.51153846,26.09764706,27.30704082
