country,aircraft_total_stock,aircraft_total_ready,fighters_total_stock,fighters_total_ready,attack_aircraft_total_stock,attack_aircraft_total_ready,tanker_transport_total_stock,tanker_transport_total_ready,helicopter_total_stock,helicopter_total_ready,attack_helicopter_total_stock,attack_helicopter_total_ready,tanks_total_stock,tanks_total_ready,apc_total_stock,apc_total_ready,spg_artillery_total_stock,spg_artillery_total_ready,towed_artillery_total_stock,towed_artillery_total_ready,mlrs_total_stock,mlrs_total_ready,ships_total,aircraft_carrier_total,helo_carrier_total,destroyers_total,frigates_total,corvettes_total,submarines_total,coastal_patrol_craft_total,mine_warfare_craft_total,ships_tonnage_total
albania,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,1492.0,970.0,10.0,7.0,0.0,0.0,270.0,176.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
belgium,104.0,73.0,44.0,31.0,12.0,8.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,3588.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,10190.0
bulgaria,71.0,46.0,11.0,7.0,5.0,3.0,0.0,0.0,23.0,15.0,4.0,3.0,334.0,217.0,6724.0,4371.0,48.0,31.0,24.0,16.0,24.0,16.0,45.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,0.0
canada,354.0,266.0,66.0,50.0,0.0,0.0,6.0,5.0,146.0,110.0,0.0,0.0,74.0,56.0,21780.0,16335.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,119637.0
croatia,67.0,50.0,12.0,9.0,0.0,0.0,0.0,0.0,37.0,28.0,0.0,0.0,55.0,44.0,4874.0,3899.0,25.0,20.0,42.0,34.0,42.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
czech-republic,103.0,77.0,12.0,9.0,16.0,12.0,0.0,0.0,42.0,32.0,4.0,3.0,20.0,14.0,6275.0,4393.0,53.0,37.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denmark,122.0,98.0,26.0,21.0,19.0,15.0,0.0,0.0,34.0,27.0,0.0,0.0,44.0,33.0,5930.0,4448.0,19.0,14.0,0.0,0.0,8.0,6.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,121180.0
estonia,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2579.0,1805.0,48.0,34.0,0.0,0.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
finland,162.0,122.0,53.0,40.0,0.0,0.0,0.0,0.0,27.0,20.0,0.0,0.0,200.0,150.0,14866.0,11150.0,125.0,94.0,667.0,500.0,76.0,57.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,19434.0
france,974.0,779.0,223.0,178.0,0.0,0.0,15.0,12.0,452.0,362.0,67.0,54.0,427.0,342.0,110784.0,88627.0,74.0,59.0,0.0,0.0,9.0,7.0,166.0,1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,487471.0
germany,569.0,427.0,127.0,95.0,63.0,47.0,3.0,2.0,292.0,219.0,49.0,37.0,296.0,222.0,87338.0,65504.0,134.0,101.0,0.0,0.0,33.0,25.0,96.0,0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,241492.0
greece,560.0,392.0,178.0,125.0,0.0,0.0,0.0,0.0,285.0,200.0,28.0,20.0,1344.0,874.0,56416.0,36670.0,589.0,383.0,698.0,454.0,152.0,99.0,186.0,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,215808.0
hungary,80.0,52.0,12.0,8.0,0.0,0.0,0.0,0.0,50.0,33.0,8.0,5.0,220.0,154.0,11502.0,8051.0,24.0,17.0,295.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italy,714.0,500.0,88.0,62.0,65.0,46.0,8.0,6.0,352.0,246.0,37.0,26.0,203.0,142.0,87364.0,61155.0,64.0,45.0,108.0,76.0,21.0,15.0,285.0,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,387892.0
latvia,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3410.0,2217.0,47.0,31.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0
lithuania,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,4553.0,2732.0,16.0,10.0,54.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
luxembourg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macedonia,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3902.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
montenegro,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,946.0,520.0,0.0,0.0,12.0,7.0,12.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
